# Voyager 1 egress temperature profiles for Jupiter
# digitized and reprocessed by Gupta et al. 2022
# Pressure (mbar), Temperature (K)
1.18, 174.97
1.19, 173.37
1.22, 171.78
1.26, 170.62
1.27, 169.65
1.30, 167.85
1.32, 166.57
1.37, 163.82
1.38, 162.97
1.39, 161.80
1.41, 160.52
1.42, 159.67
1.46, 158.82
1.50, 158.18
1.54, 157.65
1.61, 157.13
1.70, 157.13
1.77, 157.56
1.85, 158.09
1.90, 158.62
2.09, 160.43
2.18, 161.07
2.34, 161.39
2.48, 161.39
2.65, 161.19
2.81, 161.40
2.88, 161.93
2.96, 162.47
3.05, 163.10
3.16, 163.75
3.42, 164.92
3.59, 165.77
3.72, 166.20
4.05, 166.84
4.25, 166.52
4.46, 165.78
4.63, 165.04
4.86, 165.26
5.10, 166.11
5.24, 166.85
5.44, 168.02
5.76, 169.30
5.93, 170.25
6.21, 171.42
7.17, 170.06
7.83, 167.30
8.38, 164.64
8.88, 161.98
9.50, 159.23
9.98, 155.73
10.59, 151.58
11.01, 148.82
11.79, 144.89
12.64, 141.07
13.40, 137.67
14.76, 134.38
16.11, 131.31
17.24, 128.66
18.99, 126.43
20.71, 124.41
21.93, 123.25
24.61, 121.55
26.07, 121.12
27.61, 120.60
28.97, 119.75
30.39, 118.79
31.29, 117.84
31.91, 116.99
32.53, 116.14
35.13, 115.51
37.90, 115.93
39.74, 116.37
41.67, 117.22
43.27, 118.07
46.69, 118.39
49.91, 118.50
54.89, 119.14
57.55, 119.47
63.92, 119.68
69.65, 119.36
77.39, 118.63
85.16, 117.78
94.61, 116.94
99.22, 117.16
105.05, 117.58
112.29, 117.58
121.25, 116.63
132.18, 115.47
156.95, 115.26
175.89, 116.22
222.93, 119.21
352.75, 126.60
631.25, 145.13
700.94, 149.22
721.18, 150.62
763.51, 153.10
778.15, 153.96
793.08, 154.82
823.94, 156.00
839.69, 157.08
863.74, 159.23
880.28, 160.20
897.10, 161.28
914.25, 162.35
931.82, 163.11
949.69, 163.97
976.96, 165.91
995.63, 166.98
1004.94, 168.06
1024.21, 168.92
1033.89, 169.67
1043.62, 170.53
1054.95, 171.16
