# Cassini temperature profile for Saturn at 1.6 N
# Schinder et al. 2011
# Pressure (mbar), Temperature (K)
0.10139464933706842, 148.75
0.105696, 147.4375
0.111717, 146.5
0.124807, 145.375
0.139431, 143.3125
0.14737, 142.1875
0.160144, 142.75
0.17402, 142.9375
0.189100, 142.375
0.211257, 142.9375
0.2327, 143.5
0.24602, 142.375
0.26003, 141.625
0.28257, 143.3125
0.307056, 144.625
0.329073, 145.5625
0.36257, 145.9375
0.38857, 147.0625
0.434104, 145.9375
0.46523, 146.5
0.484969, 147.0625
0.52699, 148.375
0.57265, 148.9375
0.61371, 150.4375
0.67620, 151.375
0.71471, 152.125
0.75543, 153.0625
0.82089, 154
0.87975, 153.25
0.95598, 152.125
1.05331, 153.0625
1.12883, 153.8125
1.26110, 153.8125
1.35153, 153.8125
1.44844, 154.1875
1.50989, 154.9375
1.53095, 155.6875
1.71034, 155.6875
1.83298, 154.9375
1.96441, 154.1875
2.0763, 152.5
2.13463, 150.8125
2.22519, 148.9375
2.45173, 147.8125
2.520, 146.3125
2.62753, 143.875
2.73901, 142.375
2.8950, 140.875
3.1458, 139.5625
3.27936, 137.5
3.37147, 135.625
3.41849, 133.375
3.4661, 131.6875
3.5635, 130.75
3.61322, 127.75
3.6636, 124.1875
3.81904, 121.375
3.87230, 119.875
3.98107, 117.25
4.0365, 114.625
4.1499, 113.5
4.20, 111.8125
4.38637, 109.5625
4.636, 107.5
4.832, 106.375
5.0379, 105.4375
5.4745, 105.625
6.0318, 106.375
6.37, 105.625
6.5545, 104.3125
6.9278, 102.625
7.424, 101.3125
8.1805, 102.4375
9.013, 103.1875
9.2665, 102.4375
9.5268, 100.5625
9.6596, 98.6875
10.2099, 97.1875
10.4966, 95.875
11.2493, 94.9375
12.2241, 94.5625
12.9204, 95.125
13.846, 95.875
14.4343, 96.4375
15.2566, 97.1875
15.6851, 96.8125
16.35, 95.875
17.767, 95.5
19.0414, 95.6875
20.4067, 95.3125
22.1750, 94.9375
23.438, 94.1875
24.7733, 93.625
26.1845, 93.4375
28.062, 93.25
29.660, 93.4375
31.7874, 93.4375
33.5981, 93.625
35.023, 93.25
37.534, 92.5
40.2264, 92.3125
41.3562, 91.75
44.321, 91
46.202, 90.0625
49.515, 89.875
51.6157, 89.6875
54.5559, 89.6875
58.4678, 90.4375
60.948, 90.8125
65.318, 89.875
70.002, 90.0625
72.972, 90.8125
77.129, 91.375
79.295, 92.125
87.36, 93.0625
91.074, 93.0625
94.93, 92.5
100.346, 92.5
104.604, 91.75
106.06, 91.1875
118.490, 91.1875
128.758, 91
136.092, 90.25
149.947, 90.25
162.940, 90.625
172.222, 89.875
184.571, 89.3125
197.806, 89.875
211.990, 89.875
227.19, 90.4375
253.811, 91.9375
268.269, 93.0625
287.505, 93.625
312.418, 95.3125
349.025, 97.375
374.05, 99.4375
389.921, 100.5625
417.88, 102.0625
441.68, 103.75
460.42, 104.875
486.65, 106.9375
507.29, 108.25
536.19, 110.125
566.73, 111.8125
599.0, 113.875
615.84, 115
641.97, 116.6875
669.21, 118.5625
697.6, 120.25
727.2, 121.75
768.62, 123.4375
779.34, 124.5625
801.23, 125.6875
823.73, 126.625
835.22, 127.75
870.66, 129.0625
895.11, 130.5625
920.25, 132.0625
959.30, 133.9375
999.9, 135.4375
1042.42, 137.6875
1086.65, 139.5625
1132.75, 141.25
1180.81, 143.3125
1213.97, 144.8125
1265.48, 146.6875
1319.16, 148.1875
1356.22, 149.3125
