# Voyager 2 ingress temperature profiles for Uranus
# Lindal et al. 1987
# Pressure (mbar), Temperature (K)
 0.40168499, 120.63096
 0.427570728, 121.26944
 0.4389593, 120.72294
 0.462387553, 119.99789
 0.49649967, 119.3280
 0.52096515, 120.72836
 0.53605414, 120.20242
 0.55410596, 119.55389
 0.6175613, 118.919
 0.66075613, 119.36483
 0.72719328, 118.91573
 0.866436, 118.74035
 0.93002670, 118.01379
 1.03350248, 117.3671
 1.12797493, 116.77013
 1.1411108, 116.02094
 1.19476589, 115.30671
 1.25836397, 114.59248
 1.3085721, 113.87825
 1.36947805, 113.16402
 1.40993738, 112.44979
 1.49176024, 111.73557
 1.60585396, 111.02134
 1.66310344, 110.30711
 1.70291559, 109.59288
 1.7420949, 108.87865
 1.7992835, 108.16442
 1.87277727, 107.45019
 1.96977611, 106.73596
 2.0381443, 106.021
 2.106009, 105.307
 2.17633192, 104.43745
 2.2415462, 103.74919
 2.29405711, 103.03496
 2.36290656, 102.3207
 2.4106813, 101.6065
 2.4920843, 100.8922
 2.56804499, 100.17804
 2.65234734, 99.46382
 2.780853, 98.7495
 2.89444062, 98.0353
 3.0085584, 97.3211
 3.093217, 96.60690
 3.15719435, 95.89267
 3.25194836, 95.17844
 3.33889640, 94.46421
 3.4438005, 93.74999
 3.5665737, 93.03576
 3.70550529, 92.32153
 3.8358629, 91.60730
 3.9276875, 90.89307
 4.0455657, 90.17884
 4.1048910, 89.46461
 4.2242421, 88.75038
 4.3096507, 88.03615
 4.376829, 87.32193
 4.5328652, 86.60770
 4.6456000, 85.89347
 4.7784981, 85.17924
 4.9040303, 84.46501
 4.9986331, 83.75078
 5.1650747, 83.03655
 5.2959416, 82.32232
 5.43506720, 81.60810
 5.54243500, 80.8938
 5.6288299, 80.1796
 5.7643247, 79.46541
 5.9700003, 78.69058
 6.0596165, 78.08159
 6.381879, 77.3227
 6.5168395, 76.6084
 6.7676156, 75.8942
 6.9738978, 75.18004
 7.2719755, 74.46581
 7.5175327, 73.75158
 7.6939898, 73.03735
 7.9357258, 72.32312
 8.0961756, 71.60889
 8.3733725, 70.89466
 8.6876821, 70.18043
 9.0631323, 69.46621
 9.386237, 68.75198
 9.6021889, 68.03775
 9.9083848, 67.32352
 10.1779367, 66.60929
 10.6129611, 65.89506
 11.1982544, 65.18083
 11.8050800, 64.46660
 12.4165137, 63.75237
 13.1072325, 63.03815
 13.9564911, 62.32392
 14.7127837, 61.60969
 15.4326371, 60.89546
 16.305969, 60.18123
 17.52117, 59.467006
 19.0509659, 58.75277
 20.7614903, 58.038549
 22.5536600, 57.324320
 24.871128, 56.6100
 27.2278125, 55.895862
 30.294261, 55.19245
 33.396719, 54.499870
 37.2343523, 53.818106
 41.762737, 53.23373
 46.501684, 52.88311
 51.900671, 52.22437
 59.167444, 51.733856
 66.015724, 51.40178
 76.617754, 50.96119
 87.09884, 50.54800
 103.292283, 50.28133
 119.706239, 50.230729
 133.637931, 50.31189
 150.286194, 50.0321
 171.36686, 50.416778
 192.246035, 50.67261
 219.747501, 51.03111
 248.969071, 51.632133
 281.78705, 52.11494
 314.146453, 52.81169
 347.56268, 53.49345
 377.90862, 54.207685
 405.14982, 54.92191
 429.052074, 55.63614
 452.30211, 56.350372
 476.81204, 57.06460
 501.508107, 57.778829
 525.08903, 58.49305
 547.78149, 59.20728
 570.41568, 59.92151
 597.23665, 60.63574
 624.18187, 61.349973
 657.10842, 62.06420
 687.0673, 62.778431
 718.71904, 63.492660
 747.05566, 64.206
 779.34070, 64.921
 799.08677, 65.635
 823.81826, 66.349
 853.57601, 67.063
 887.22957, 67.77803
 913.02608, 68.49226
 935.3079, 69.206
 966.45127, 69.92071
 996.36263, 70.63494
 1025.33222, 71.34917
 1047.0152, 72.06340
 1074.03189, 72.77763
 1099.24237, 73.49186
 1132.23293, 74.20609
 1161.4484, 74.92032
 1188.71084, 75.63455
 1222.16052, 76.34877
 1257.69526, 77.06300
 1282.5405, 77.77723
 1313.24264, 78.49146
 1354.50315, 79.20569
 1373.11606, 79.91992
 1397.06002, 80.63415
 1413.68287, 81.34838
 1424.6584, 82.06260
 1465.41407, 82.77683
 1495.04279, 83.49106
 1530.13556, 84.20529
 1539.9121, 84.91952
 1583.24444, 85.6337
 1600.62558, 86.3479
 1636.70681, 87.0622
 1695.82751, 87.77643
 1753.8892, 88.4906
 1773.1437, 89.2048
 1831.35154, 89.91912
 1864.13393, 90.6333
 1886.31423, 91.34758
 1922.70280, 92.06181
 1954.45119, 92.77604
 2009.44839, 93.49027
 2045.418, 94.20449
 2080.13967, 94.91872
 2102.0193, 95.63295
 2167.0761, 96.34718
 2250.46795, 97.06141
 2284.5085, 97.77564
 2333.88133, 98.48987
 2365.9523, 99.20410
 2431.42259, 99.91832
 2468.2002, 100.63255
 2520.39616, 101.34678
 2579.556, 102.06101
 2638.9053, 102.77524
 2720.5785, 103.48947
 2771.7995, 104.20370
 2812.446, 104.91793
 2869.30991, 105.63216
 2956.76873, 106.34638
 3031.6840, 107.06061
 3098.61415, 107.7748
 3129.78231, 108.4890
 3223.71363, 109.20330
 3276.94480, 109.91753
 3361.50129, 110.63176
 3448.23962, 111.34599
 3484.5094, 112.0602
 3546.8844, 112.7744
 3626.8381, 113.48867
 3733.9880, 114.20290
 3785.29865, 114.91713
 3853.0579, 115.63136
 3922.03023, 116.34559
 4034.22892, 117.05982
 4091.52622, 117.77405
 4195.1927, 118.48827
 4264.46536, 119.20250
 4366.5501, 119.91673
 4436.6334, 120.63096
 4509.8927, 121.34519
 4565.6300, 122.05942
 4689.8353, 122.77365
 4797.7355, 123.48788
 4941.7256, 124.20210
 5032.4747, 124.91633
 5176.4402, 125.63056
 5285.9081, 126.34479
 5419.8366, 127.05902
 5542.0103, 127.77325
 5630.9598, 128.4874
 5781.5160, 129.2017
 5844.9865, 129.9159
 5913.6359, 130.37044
