# Voyager 2 ingress temperature profiles for Uranus
# Lindal et al. 1987
# Pressure (mbar), Temperature (K)
0.25, 96.1 
0.28, 100.1 
0.32, 105.3 
0.35, 110.4 
0.40, 113.4 
0.45, 113.3 
0.50, 107.3 
0.56, 98.0 
0.63, 90.8 
0.71, 85.6 
0.79, 80.8 
0.89, 75.8 
1.00, 73.0 
1.12, 71.0 
1.26, 70.2 
1.41, 69.4 
1.58, 68.6 
1.78, 67.8 
2.00, 67.0 
2.24, 66.8 
2.51, 66.8 
2.82, 67.1 
3.16, 68.2 
3.55, 68.8 
3.98, 68.7 
4.47, 68.1 
5.01, 67.9 
5.62, 67.0 
6.31, 64.6 
7.08, 63.3 
7.94, 63.6 
8.91, 63.4 
10.00, 63.4 
11.22, 64.6 
12.59, 66.1 
14.13, 66.6 
15.85, 59.6 
17.78, 58.7 
19.95, 58.2 
22.39, 57.3 
25.12, 56.6 
28.18, 56.0 
31.62, 55.5 
35.48, 55.1 
39.81, 54.8 
44.67, 54.6 
50.12, 54.1 
56.23, 53.7 
63.10, 53.6 
70.79, 53.6 
79.43, 53.5 
89.13, 53.4 
100.00, 53.2 
109.65, 53.0 
120.23, 53.1 
131.83, 53.2 
144.54, 53.5 
158.49, 53.5 
173.78, 53.8 
190.55, 54.2 
208.93, 54.5 
229.09, 54.8 
251.19, 55.2 
275.42, 55.5 
302.00, 56.1 
331.13, 56.6 
363.08, 57.4 
398.11, 58.3 
436.52, 59.3 
478.63, 60.6 
524.81, 62.0 
549.54, 62.7 
575.44, 63.6 
602.56, 64.4 
630.96, 65.3 
660.69, 66.2 
691.83, 67.1 
724.44, 68.1 
758.58, 69.2 
794.33, 70.3 
831.76, 71.4 
870.96, 72.6 
912.01, 73.8 
954.99, 75.1 
1000.00, 76.4 
1047.13, 77.8 
1096.48, 79.3 
1116.86, 79.9 
1137.63, 80.6 
1158.78, 81.1 
1180.32, 81.6 
1202.26, 82.0 
1224.62, 82.4 
1247.38, 82.7 
1270.57, 83.0 
1294.20, 83.4 
1318.26, 83.9 
1380.38, 85.2 
1445.44, 86.6 
1513.56, 87.9 
1584.89, 89.2 
1659.59, 90.6 
1737.80, 91.9 
1819.70, 93.2 
1905.46, 94.6 
1995.26, 96.0 
2089.30, 97.5 
2187.76, 99.0 
2290.87, 100.6 
2308.81, 100.9

